# Codigo de Zonas Fisiograficas, Municipios e Distritos de 1960 -- leitura em folhas de contato
# Formato: uf60 | pagina | codigo do municipio | NOME DO MUNICIPIO | codigo:nome do distrito, ...
21|74|2182|SAO JOAQUIM DO MONTE|01:São Joaquim do Monte,03:Batateira,05:Santana de São Joaquim
21|74|2183|SURUBIM|01:Surubim,03:Casinhas,05:Vertentes do Lério
21|74|2184|TAQUARITINGA DO NORTE|01:Taquaritinga do Norte,03:Gravatá de Jaburu
21|74|2185|TORITAMA|01:Toritama
21|74|2186|VERTENTES|01:Vertentes,03:Cambucá,05:Frei Miguelinho
21|74|2230|AGUAS BELAS|01:Águas Belas,03:Iati,05:Itaíba
14|41|1565|PALHANO|01:Palhano
14|41|1566|QUIXERE|01:Quixerê
14|41|1567|RUSSAS|01:Russas,03:Bonhu,05:Flôres
14|41|1568|SAO JOAO DO JAGUARIBE|01:São João do Jaguaribe
14|41|1569|TABULEIRO DO NORTE|01:Tabuleiro do Norte,03:Ôlho d'Água da Bica
14|41|1580|JAGUARETAMA|01:Jaguaretama
14|41|1581|JAGUARIBARA|01:Jaguaribara,03:Poço Comprido
14|41|1582|JAGUARIBE|01:Jaguaribe,03:Foiticeiro,05:Mapuá,07:Nova Floresta
# RELER SOZINHAS (leitura ambigua na folha de tres paginas):
#   p.102 (Bahia): Riachao do Jacuipe e Santo Estevao com codigo repetido/obscuro
#   p.251/252 (Parana): Toledo 7268, o codigo 09 caiu na emenda entre as paginas
14|42|1441|ALTANEIRA|01:Altaneira
14|42|1442|ASSARE|01:Assaré,03:Amaro,05:Aratama,07:Tarrafas
14|42|1443|AURORA|01:Aurora,03:Ingàzeiras,05:Tipi
14|42|1444|BAIXIO|01:Baixio
14|42|1445|CARIUS|01:Cariús,03:Caipu,05:São Bartolomeu,07:São Sebastião
14|42|1446|CEDRO|01:Cedro,03:Várzea
14|42|1447|FARIAS BRITO|01:Farias Brito,03:Cariutaba,05:Nova Betânia,07:Quincucá
14|42|1448|ICO|01:Icó,03:Icozinho,05:Cruzeirinho,07:Lima Campos,09:Pedrinhas
14|35|1545|PEDRA BRANCA|01:Pedra Branca,03:Mineirolândia,05:Riachão do Banabuiú,07:Tróia
14|35|1546|PIQUET CARNEIRO|01:Piquet Carneiro,03:Ibicuã
14|35|1547|QUIXADA|01:Quixadá,03:Banabuiú,05:Caiçarinha,07:Chorró,09:Custódio?,11:Daniel Queirós,13:Dom Maurício,15:Ibaretama,17:Juatama,19:Rinaré,21:Sitiá,23:Tapuiará
14|35|1548|QUIXERAMOBIM|01:Quixeramobim,03:Encantado,05:Lacerda,07:Macaoca,09:Madalena,11:Manituba,13:Passagem,15:Pirabibu,17:São Miguel,19:Uruquê
14|35|1549|SENADOR POMPEU|01:Senador Pompeu,03:Engenheiro José Lopes,05:São Joaquim do Salgado
81|283|8352|ESPUMOSO|01:Espumoso,03:Alto Alegre,05:Campos Borges,07:Jacuizinho,09:Rincão da Estrela
81|283|8353|IBIRUBA|01:Ibirubá,03:Alfredo Brenner,05:Quinze de Novembro
81|283|8354|IJUI|01:Ijuí,03:Ajuricaba,05:Barro Preto,07:Coronel Barros,09:Doutor Bozano,11:Doutor Pestana,13:Ramada
81|283|8355|JULIO DE CASTILHOS|01:Júlio de Castilhos,03:Canhemborá,05:Ivorá,07:Pinhal Grande,09:Nova Palma,11:Quevedos
81|283|8356|MARAU|01:Marau,03:Camargo,05:Maria
81|283|8357|NAO-ME-TOQUE|01:Não-Me-Toque,03:Cochinho,05:São José do Centro
81|283|8358|PANAMBI|01:Panambi,03:Condor
40|162|4222|CURVELO|01:Curvelo,03:Angueretá,05:Inimutaba,07:Morro da Garça,09:Ponte do Paraúna,11:Santa Rita do Cedro,13:Tomás Gonzaga
40|162|4223|FELIXLANDIA|01:Felixlândia,03:São José do Buriti
40|162|4224|LASSANCE|01:Lassance
40|162|4225|MORADA NOVA DE MINAS|01:Morada Nova de Minas,03:Biquinhas,05:Frei Orlando
40|162|4226|PIRAPORA|01:Pirapora,03:Buritizeiro
40|162|4227|SAO GONCALO DO ABAETE|01:São Gonçalo do Abaeté,03:Canoeiros
40|162|4228|VARZEA DA PALMA|01:Várzea da Palma,03:Guaicuí
40|162|4010|JOAO PINHEIRO|01:João Pinheiro,03:Caatinga,05:Canabrava,07:Veredas
40|162|4011|PARACATU|01:Paracatu
40|137|4505|ITAMARANDIBA|01:Itamarandiba,03:Aricanduva,05:Carbonita,07:Padre João Afonso,09:Penha de França
40|137|4506|MINAS NOVAS|01:Minas Novas,03:Berilo,05:Chapada,07:Francisco Badaró,09:Leme do Prado
40|137|4507|SERRO|01:Sêrro,03:Casa de Telha,05:Itapanhoacanga,07:Milho Verde,09:Santo Antônio do Itambé,11:Santo Antônio do Rio do Peixe,13:São Gonçalo do Rio das Pedras
40|137|4508|TURMALINA|01:Turmalina,03:Caçaratiba,05:Veredinha
40|137|4509|VIRGEM DA LAPA|01:Virgem da Lapa
40|137|4520|ALVINOPOLIS|01:Alvinópolis,03:Fonseca,05:Major Ezequiel
40|137|4521|BALDIM|01:Baldim,03:Amanda,05:São Vicente
14|47|1487|PORANGA|01:Poranga,03:Macambira
14|47|1488|SAO BENEDITO|01:São Benedito,03:Graça,05:Inhuçu
14|47|1489|TIANGUA|01:Tianguá,03:Arapá,05:Caruataí,07:Pindoguaba,09:Tabainha
14|47|1490|UBAJARA|01:Ubajara,03:Araticum,05:Jaburuna
14|47|1491|VICOSA DO CEARA|01:Viçosa do Ceará,03:General Tibúrcio,05:Lambedouro,07:Padre Vieira,09:Quatiguaba
14|47|1590|IRACEMA|01:Iracema,03:Potiretama
14|47|1591|PEREIRO|01:Pereiro,03:Ererê
14|47|1640|ABAIARA|01:Abaiara
31|103|3382|PINDOBACU|01:Pindobaçu
31|103|3383|SAUDE|01:Saúde,03:Caldeirão Grande,05:Mirangaba,07:Nuguaçu,09:Ponto Novo,11:Taquarandi
31|103|3384|SENHOR DO BONFIM|01:Senhor do Bonfim,03:Andorinha,05:Carrapichel,07:Igara,09:Tijuaçu
31|103|3390|BAIXA GRANDE|01:Baixa Grande
31|103|3391|IBIQUERA|01:Ibiquera
31|103|3392|ITABERABA|01:Itaberaba,03:Brejo Novo,05:Tupim
31|103|3393|JACOBINA|01:Jacobina,03:Caem,05:Catinga do Moura,07:Itaitu,09:Itapeipu,11:São José do Jacuípe,13:Serrolândia,15:Várzea Nova
81|287|8414|NOVO HAMBURGO|01:Novo Hamburgo,03:Hamburgo Velho,05:Lomba Grande,07:Floresta Imperial
81|287|8415|ROCA SALES|01:Roca Sales
14|34|1530|SAO LUIS DO CURU|01:São Luís do Curu
14|34|1531|TRAIRI|01:Trairi,03:Mundaú
14|34|1532|URUOCA|01:Uruoca,03:Paracuá
14|34|1533|URUBURETAMA|01:Uruburetama,03:Cemoaba,05:São Joaquim,07:Tururu,09:Umirim
14|34|1540|BOA VIAGEM|01:Boa Viagem,03:Domingos da Costa,05:Ibuaçú,07:Jacampari
14|34|1542|ITATIRA|01:Itatira,03:Lagoa do Mato
14|34|1544|MOMBACA|01:Mombaça,03:Boa Vista,05:Carnaúbas,07:Catolé
81|287|8416|ROLANTE|01:Rolante,05:Riozinho
81|287|8417|SANTA CRUZ DO SUL|01:Santa Cruz do Sul,03:Boa Vista,05:Formosa,07:Gramado Xavier,09:Erveiras,11:Monte Alverne,13:Rio Pardinho,15:Fontoura Gonçalves,17:Sinimbu,19:Trombudo,21:Serafim Schmidt
81|287|8419|SANTO ANTONIO|01:Santo Antônio,03:Caraá,05:Entrepelado,07:Miraguaia,09:Rolantinho da Figueira
81|287|8420|SAO LEOPOLDO|01:São Leopoldo,03:Sapucaia
31|102|3285|IRARA|01:Irará,03:Água Fria,05:Bento Simões,07:Boa Esperança,09:Ouriçangas,11:Pataiba,13:Pedrão,15:Santanópolis
31|102|3286|RIACHAO DO JACUIPE|01:Riachão do Jacuípe,03:Candeal,05:Gavião,07:Ichu
31|102|3287|SANTA TERESINHA|01:Santa Teresinha,03:Monte Cruzeiro,05:Novo Paraíso
31|102|3289|SERRA PRETA|01:Serra Preta
31|102|3290|TANQUINHO|01:Tanquinho
31|102|3380|CAMPO FORMOSO|01:Campo Formoso,03:Delfino,05:Itinga da Serra
31|102|3381|JAGUARARI|01:Jaguarari,03:Juacema
#   p.102 (Bahia): Santo Estevao 3288 tem um distrito cujo nome nao renderiza (entre
#     Cavunge 03 e Ipecaeta 07) -- falta so ele nessa pagina
52|181|5250|BOM JARDIM|01:Bom Jardim,03:Banquete,05:Barra Alegre,07:São José do Ribeirão
# PENDENTES DE UMA LINHA SO (o resto da pagina esta lido):
#   p.35  Quixada 1547, distrito 09: o nome sai "Custodi" -- a ultima letra se funde aos pontos
#   p.102 Santo Estevao 3288: um distrito entre Cavunge 03 e Ipecaeta 07 nao renderiza
#   p.181 Bom Jardim 5250: ha uma linha ilegivel entre Barra Alegre e Sao Jose do Ribeirao
40|163|4012|PRESIDENTE OLEGARIO|01:Presidente Olegário,03:Galena,05:Lagamar,07:Ponte Firme
40|163|4013|UNAI|01:Unaí,03:Buritis,05:Fróis,07:Garapuava,09:Serra Bonita
40|163|4014|VAZANTE|01:Vazante,03:Claro de Minas,05:Guarda-Mor
40|163|4800|ABADIA DOS DOURADOS|01:Abadia dos Dourados
40|163|4801|ARAXA|01:Araxá
40|163|4802|CARMO DO PARANAIBA|01:Carmo do Paranaíba,03:Quintinos
40|163|4803|CASCALHO RICO|01:Cascalho Rico
40|163|4804|COROMANDEL|01:Coromandel,03:Alegre,05:Santa Rosa dos Dourados
40|163|4805|ESTRELA DO SUL|01:Estrêla do Sul,03:Chapada de Minas,05:Grupiara,07:Santa Rita da Estrêla
60|203|6147|JARINU|01:Jarinu
60|203|6148|JOANOPOLIS|01:Joanópolis
60|203|6149|MONTE ALEGRE DO SUL|01:Monte Alegre do Sul
60|203|6150|NAZARE PAULISTA|01:Nazaré Paulista
60|203|6151|PEDREIRA|01:Pedreira
60|203|6152|PIRACAIA|01:Piracaia,03:Batatuba
60|203|6153|SERRA NEGRA|01:Serra Negra
60|203|6154|SOCORRO|01:Socorro
60|203|6200|ARACOIABA DA SERRA|01:Araçoiaba da Serra,03:Bacaetaba,05:Capela do Alto
60|203|6201|BARUERI|01:Barueri,03:Aldeia,05:Carapicuíba
60|203|6202|BOITUVA|01:Boituva,03:Iperó
60|203|6203|CABREUVA|01:Cabreúva
60|203|6204|CAIEIRAS|01:Caieiras
91|295|9190|PONTA PORA|01:Ponta Porã,03:Bocajá,05:Cabeceira do Apa,07:Eugênio Penzo,09:Laguna Carapã,11:Rio Verde do Sul,13:Sanga Puitã
91|295|9191|RIO BRILHANTE|01:Rio Brilhante,03:Arooira
91|295|9192|ROCHEDO|01:Rochedo
91|295|9193|SIDROLANDIA|01:Sidrolândia,03:Capão Sêco
91|295|9194|TERENOS|01:Terenos
91|295|9200|AGUA CLARA|01:Água Clara,03:Alto Sucuriú
91|295|9201|APARECIDA DO TABOADO|01:Aparecida do Taboado,03:Cupins
91|295|9202|CAMAPUA|01:Camapuã,03:Ponte Vermelha
91|295|9203|CASSILANDIA|01:Cassilândia,03:Baús
91|295|9204|COXIM|01:Coxim,03:Pedro Gomes
40|143|4601|BARBACENA|01:Barbacena,03:Correia de Almeida,05:Destêrro do Melo,07:Ibertioga,09:Padre Brito,11:Tugúrio
40|143|4602|BARROSO|01:Barroso
40|143|4603|BELO VALE|01:Belo Vale,03:Santana do Paraopeba
40|143|4604|BONFIM|01:Bonfim,03:Piedade dos Gerais,05:Rio Manso,07:Santo Antônio da Vargem Alegre
40|143|4605|CAPELA NOVA|01:Capela Nova
40|143|4606|CARANDAI|01:Carandaí,03:Caranaíba,05:Hermilo Alves
40|143|4607|CRUCILANDIA|01:Crucilândia
40|143|4608|DESTERRO DE ENTRE RIOS|01:Destêrro de Entre Rios,03:São Sebastião do Gil
40|143|4609|DORES DE CAMPOS|01:Dores de Campos
40|143|4610|ENTRE RIOS DE MINAS|01:Entre Rios de Minas,03:Serra do Camapuã
40|143|4611|JECEABA|01:Jeceaba
52|177|5307|SAO GONCALO|01:São Gonçalo,03:Ipiiba,05:Monjolo,07:Neves,09:Sete Pontes
52|177|5308|SAO JOAO DE MERITI|01:São João de Meriti,03:Coelho da Rocha,05:São Mateus
52|177|5310|ITAGUAI|01:Itaguaí,03:Coroa Grande,05:Ibituporanga,07:Paracambi,09:Seropédica
52|177|5311|NOVA IGUACU|01:Nova Iguaçu,03:Belford Roxo,05:Cava,07:Japeri,09:Mesquita,11:Queimados
52|177|5320|ANGRA DOS REIS|01:Angra dos Reis,03:Abraão,05:Cunhambebe,07:Jacuecanga
31|95|3134|COARACI|01:Coaraci,03:Almadina
31|95|3135|GANDU|01:Gandu,03:Itamari,05:Nova Ibiá
31|95|3136|IBICARAI|01:Ibicaraí,03:Firmino Alves,05:Floresta Azul,07:Itaiá,09:Santa Cruz da Vitória
31|95|3137|ILHEUS|01:Ilhéus,03:Aritaguá,05:Banco Central,07:Banco da Vitória,09:Castelo Novo,11:Coutos,13:Inema,15:Itapitanga,17:Japu,19:Olivença,21:Pimenteira,23:Rio do Braço
31|95|3138|IPIAU|01:Ipiaú,03:Algodão,05:Barra do Rocha,07:Ibirataia
31|95|3139|ITABUNA|01:Itabuna,03:Buerarema,05:Ferradas,07:Itaguira,09:Itapé,11:Jussari
81|269|8500|OSORIO|01:Osório,03:Barra do Ouro,05:Capão da Canoa,07:Itati,09:Maquiné,11:Palmares do Sul,13:Passinhos,15:Terra de Areia,17:Tramandaí
81|269|8501|RIO GRANDE|01:Rio Grande,03:Cassino,05:Povo Novo,07:Quinta,09:Taim
81|269|8502|SANTA VITORIA DO PALMAR|01:Santa Vitória do Palmar,03:Chuí
81|269|8503|SAO JOSE DO NORTE|01:São José do Norte,03:Bojuru,05:Estreito,07:Mostardas,09:Tavares
81|269|8504|TORRES|01:Torres,03:Glória,05:Morro Azul,07:São Pedro de Alcântara,09:Três Cachoeiras,11:Três Forquilhas
40|132|4458|PORTO FIRME|01:Pôrto Firme
40|132|4459|PRESIDENTE BERNARDES|01:Presidente Bernardes
40|132|4460|PRESIDENTE SOARES|01:Presidente Soares
40|132|4461|RAUL SOARES|01:Raul Soares,03:Bicuíba,05:Santana do Tabuleiro,07:São Vicente da Estrela,09:Vermelho Novo,11:Vermelho Velho
40|132|4462|RECREIO|01:Recreio,03:Angaturama,05:Conceição da Boa Vista
40|132|4463|RIO CASCA|01:Rio Casca,03:Jurumirim
40|132|4464|RIO ESPERA|01:Rio Espera,03:Lamim,05:Piranguita
40|132|4465|RIO NOVO|01:Rio Nôvo,03:Goianá
40|132|4466|RIO POMBA|01:Rio Pomba,03:Silveirânia
40|132|4467|RIO PRETO|01:Rio Prêto,03:Santa Bárbara do Monte Verde,05:São Sebastião do Barreado
#   p.177 Rio Bonito 5306: so aparecem 01 e 07 (Boa Esperanca) -- a folha comeca no meio da pagina, reler
#   p.313 (Brasilia/DF e Fernando de Noronha): a margem esquerda sai cortada, layout diferente -- reler
52|175|5213|SAO JOAO DA BARRA|01:São João da Barra,03:Barra Seca,05:Itabapoana,07:Maniva,09:Pipeiras,11:Barcelos
52|175|5280|CASIMIRO DE ABREU|01:Casimiro de Abreu,03:Barra de São João
52|175|5281|SILVA JARDIM|01:Silva Jardim,03:Correntezas,05:Gaviões,07:Quartéis
52|175|5290|ARARUAMA|01:Araruama,03:Morro Grande,05:São Vicente de Paula
52|175|5291|CABO FRIO|01:Cabo Frio,03:Armação dos Búzios,05:Arraial do Cabo,07:Tamoios
52|175|5293|SAO PEDRO DA ALDEIA|01:São Pedro da Aldeia,03:Iguaba Grande
40|161|4214|JANAUBA|01:Janaúba
40|161|4215|JEQUITAI|01:Jequitaí
40|161|4216|JURAMENTO|01:Juramento
40|161|4217|MONTES CLAROS|01:Montes Claros,03:Mirabela,05:Miralta,07:Patis,09:Santa Rosa de Lima,11:São João da Vereda,13:São Pedro da Garça
40|161|4218|SAO JOAO DA PONTE|01:São João da Ponte,03:Bonança,05:Campo Redondo,07:Condado do Norte,09:Ibiracatu,11:Lontra,13:Santo Antônio da Boa Vista,15:Varzelândia
40|161|4220|BUENOPOLIS|01:Buenópolis,03:Augusto de Lima,05:Curimataí,07:Joaquim Felício
40|161|4221|CORINTO|01:Corinto,03:Andrequicé,05:Contria,07:Santo Hipólito,09:Senhora da Glória
14|40|1618|PARAMBU|01:Parambu
14|40|1619|SABOEIRO|01:Saboeiro,03:Flamengo
14|40|1620|TAUA|01:Tauá,03:Barra Nova,05:Carrapateiras,07:Inhamuns,09:Marrecas,11:Marruás,13:Trici
14|40|1560|ALTO SANTO|01:Alto Santo,03:Castanhão
14|40|1561|ITAICABA|01:Itaiçaba
14|40|1562|JAGUARUANA|01:Jaguaruana,03:Borges,05:Giqui
14|40|1563|LIMOEIRO DO NORTE|01:Limoeiro do Norte,03:Bixopá
14|40|1564|MORADA NOVA|01:Morada Nova,03:Aruaru,05:Boa Água,07:Ibicuitinga,09:Juàzeiro de Baixo,11:Pedras
#   p.175 Marica 5292: ha uma linha obscura entre Inoa 03 e Itapeteiu 05 -- falta um distrito
31|115|3363|CORIBE|01:Coribe
31|115|3364|PALMAS DE MONTE ALTO|01:Palmas de Monte Alto,03:Camatei,05:Mandiroba
31|115|3365|RIACHO DE SANTANA|01:Riacho de Santana,03:Botuquara,05:Matina
31|115|3366|SANTANA|01:Santana,03:Ibiagui,05:Penamar,07:Porto Novo
31|115|3367|SANTA MARIA DA VITORIA|01:Santa Maria da Vitória,03:Açudina,05:Inhaumas
31|115|3370|ANGICAL|01:Angical,03:Brejo Velho,05:Buritizinho,07:Mariquita
31|115|3372|CORRENTINA|01:Correntina
40|136|4027|SAO JOAO DO PARAISO|01:São João do Paraíso,03:Vereda do Paraíso
40|136|4028|TAIOBEIRAS|01:Taiobeiras
40|136|4500|ARACUAI|01:Araçuaí,03:Engenheiro Schnoor,05:Itira
40|136|4501|CAPELINHA|01:Capelinha
40|136|4502|CORONEL MURTA|01:Coronel Murta
40|136|4504|GOUVEA|01:Gouvêa
21|76|2213|ITAPETIM|01:Itapetim
21|76|2215|SERRA TALHADA|01:Serra Talhada,03:Bernardo Vieira,05:Caiçarinha da Penha,07:Luanda,09:Pajeú,11:Tauapiranga
21|76|2216|TABIRA|01:Tabira,03:Ingàzeira,05:Solidão,07:Tuparetama
21|76|2240|ARCOVERDE|01:Arcoverde
21|76|2241|CUSTODIA|01:Custódia,03:Betânia
21|76|2242|SERTANIA|01:Sertânia,03:Albuquerque Néri,05:Algodões,07:Henrique Dias,09:Rio da Barra
21|76|2250|ARARIPINA|01:Araripina,03:Morais,05:Nascente
#   p.115 Barreiras 3371: linha obscura entre Sao Desiderio 05 e Sitio Grande 07
#   p.136 Diamantina 4503: linha obscura perto do codigo 27 -- tem 15 distritos, um ilegivel
#   p.76  Sao Jose do Egito 2214: aparecem 01 e 05 (Tigre), falta o 03
21|72|2163|CUPIRA|01:Cupira
21|72|2164|GARANHUNS|01:Garanhuns,03:Brejão,05:Caetés,07:Iratama,09:Itacatu,11:Miracica,13:Paranatama,15:São João
21|72|2165|GLORIA DO GOITA|01:Glória do Goitá,03:Apoti,05:Chã da Alegria,07:Feira Nova
21|72|2166|GRAVATA|01:Gravatá,03:Chã Grande,05:Mandacaru,07:Uruçu-Mirim
21|72|2167|JOAO ALFREDO|01:João Alfredo,03:Salgadinho
21|72|2168|JUREMA|01:Jurema,03:Santo Antônio das Queimadas
21|72|2169|LAGOA DOS GATOS|01:Lagoa dos Gatos,03:Lagoa do Sousa
21|72|2170|LAJEDO|01:Lajedo
31|104|3394|MACAJUBA|01:Macajuba
31|104|3395|MAIRI|01:Mairi
31|104|3396|MIGUEL CALMON|01:Miguel Calmon,03:Itapura,05:Tapiranga,07:Várzea do Poço
31|104|3397|MUNDO NOVO|01:Mundo Nôvo,03:Alto Bonito,05:Ibiaporã,07:Indai,09:Tapiramutá
31|104|3398|PIRITIBA|01:Piritiba,03:França,05:Largo
31|104|3399|RUY BARBOSA|01:Ruy Barbosa,03:Lajedinho,05:Morro das Flôres,07:Tapiraipe
31|104|3210|AMARGOSA|01:Amargosa,03:Corta Mão,05:Diógenes Sampaio,07:Itachama,09:Nossa Senhora dos Milagres,11:Tartaruga
31|104|3211|BREJOES|01:Brejões,03:Nova Itarana
60|232|6642|JULIO MESQUITA|01:Júlio Mesquita
60|232|6643|JUNQUEIROPOLIS|01:Junqueirópolis
60|232|6644|LUCELIA|01:Lucélia,03:Pracinha
60|232|6645|LUPERCIO|01:Lupércio
60|232|6646|MARIAPOLIS|01:Mariápolis,03:Mourão
60|232|6647|MARILIA|01:Marília,03:Amadeu Amaral,05:Avencas,07:Dirceu,09:Lácio,11:Padre Nóbrega,13:Rosália
60|232|6648|OCAUCU|01:Ocauçu
60|232|6649|ORIENTE|01:Oriente
60|232|6650|OSVALDO CRUZ|01:Osvaldo Cruz,03:Lagoa Azul
