tipo_linha,variavel,rotulo,codigo,descricao
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V103,Condição de Ocupação,7,Próprio
codigo,,,8,Alugado
codigo,,,9,Outra
codigo,,,0,Ignorado
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V104,"Aluguel Mensal, em cruzeiros de 1960",0,Até Cr$ 500
codigo,,,1,de Cr$ 500 a 1.000
codigo,,,2,de Cr$ 1.001 a 2.000
codigo,,,3,de Cr$ 2.001 a 4.000
codigo,,,4,de Cr$ 4.001 a 6.000
codigo,,,5,de Cr$ 6.001 a 10.000
codigo,,,6,de Cr$ 10.001 a 20.000
codigo,,,7,de Cr$ 20.001 e Mais
codigo,,,8,não Paga Aluguel
codigo,,,9,Ignorado
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V105,Abastecimento de Água,9,Rede Geral com Canalização Interna
codigo,,,0,Rede Geral com Canalização Externa
codigo,,,1,Poço/Nascente com canalização
codigo,,,2,Poço/Nascente sem canalização
codigo,,,3,Outra forma de abastecimento
codigo,,,4,Ignorado
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V106,Instalação Sanitária,4,Rede de Esgoto
codigo,,,5,Fossa Asséptica
codigo,,,6,Fossa Rudimentar
codigo,,,7,Outro Escoadouro
codigo,,,8,não Tem
codigo,,,9,Ignorado
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V107,Fogão,9,Lenha
codigo,,,0,Carvão
codigo,,,1,Elétrico
codigo,,,2,Gás
codigo,,,3,Óleo/Querosene
codigo,,,4,não Tem
codigo,,,5,Ignorado
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V108,Iluminação Elétrica,5,Tem
codigo,,,6,não Tem
codigo,,,7,Ignorado
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V109,Rádio,7,Tem
codigo,,,8,não Tem
codigo,,,9,Ignorado
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V110,Geladeira,9,Tem
codigo,,,0,não Tem
codigo,,,1,Ignorado
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V111,Televisão,1,Tem
codigo,,,2,não Tem
codigo,,,3,Ignorado
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V112,Total de Cômodos,Valor,
codigo,,,0,"Não havendo indicação do número total de cômodos (código do próprio questionário, Código do Censo, p. 25)"
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
codigo,V113,Peças Servindo de Dormitório,Valor,
codigo,,,0,"Não havendo indicação do número de peças servindo de dormitório (código do próprio questionário, Código do Censo, p. 25)"
codigo,,,,"Não Aplicável (Domicílios Coletivos, Improvisados ou Boletins Individuais) ou Informação Faltante (Registro Corrompido)"
secao,VARIÁVEIS GEOGRÁFICAS DO QUESTIONÁRIO,,,
codigo,UF,"Unidade da Federação, no código do próprio Censo de 1960",0,Rondônia
codigo,,,1,Acre
codigo,,,2,Amazonas
codigo,,,3,Roraima
codigo,,,4,Pará
codigo,,,6,Amapá
codigo,,,10,Maranhão
codigo,,,12,Piauí
codigo,,,14,Ceará
codigo,,,17,Rio Grande do Norte
codigo,,,19,Paraíba
codigo,,,21,Pernambuco
codigo,,,24,Fernando de Noronha
codigo,,,25,Alagoas
codigo,,,30,Sergipe
codigo,,,31,Bahia
codigo,,,40,Minas Gerais
codigo,,,50,Serra dos Aimorés
codigo,,,51,Espírito Santo
codigo,,,52,Rio de Janeiro
codigo,,,54,Guanabara
codigo,,,60,São Paulo
codigo,,,71,Paraná
codigo,,,74,Santa Catarina
codigo,,,81,Rio Grande do Sul
codigo,,,91,Mato Grosso
codigo,,,94,Goiás
codigo,,,97,Distrito Federal
codigo,V116,"Código do Município no padrão do Censo de 1960, como o arquivo o traz, sem as correções aplicadas em code_muni_1960",Valor,
codigo,V117,"Distrito, no código do questionário",Valor,
codigo,V118,"Situação de moradia, no código do questionário",1,Urbana
codigo,,,3,Suburbana
codigo,,,5,Rural
secao,VARIÁVEIS DE IDENTIFICAÇÃO BÁSICA,,,
codigo,V202,Sexo e condição de presença,1,Homem Presente
codigo,,,2,Mulher Presente
codigo,,,3,Homem Ausente
codigo,,,4,Mulher Ausente
codigo,,,5,Homem não Morador
codigo,,,6,Mulher não Morador
codigo,V203,Relação Com Chefe,7,Chefe
codigo,,,8,Cônjuge
codigo,,,9,Filho Ou Enteado
codigo,,,0,Neto
codigo,,,1,Pais e Sogros
codigo,,,2,Outros Parentes
codigo,,,3,Agregado
codigo,,,4,"Hóspede, pensionista ou Empregado Doméstico"
codigo,,,5,Ignorado
codigo,,,6,Boletim Individual
codigo,V204,Tipo de Idade - Meses Ou Anos,0,Meses
codigo,,,1,Anos
codigo,,,5,Idade acima de 99 anos (os valores da V204B indicam os dois últimos caracteres da idade)
codigo,,,9,Ignorado (a variável V204B indica necessariamente 999)
codigo,V204B,Idade Meses/Anos,Valor,"Idade Em Meses (0-11), Se V204 = 0"
codigo,,,,"Idade Em Anos (1-99), Se V204 = 1"
codigo,,,,"Últimos Dois Dígitos da Idade Em Anos, Para Pessoas Com Mais de 99 Anos, Se V204 = 5"
codigo,V205,Religião,5,Católica Romana
codigo,,,6,Protestante
codigo,,,7,Espírita
codigo,,,8,Budista
codigo,,,9,Israelita
codigo,,,0,Ortodoxa
codigo,,,1,Maometana
codigo,,,2,Outra Religião
codigo,,,3,Sem Religião
codigo,,,4,Ignorado
codigo,V206,Cor,4,Branca
codigo,,,5,Preta
codigo,,,6,Amarela
codigo,,,7,Parda
codigo,,,8,Índia
codigo,,,9,Ignorado
secao,MIGRAÇÃO,,,
codigo,V207,Naturalidade: unidade da federação ou país de nascimento,01,Acre
codigo,,,02,Alagoas
codigo,,,03,Amapá
codigo,,,04,Amazonas
codigo,,,05,Bahia
codigo,,,06,Distrito Federal (Brasília)
codigo,,,07,Ceará
codigo,,,08,Espírito Santo
codigo,,,09,Rio de Janeiro (Estado)
codigo,,,10,Fernando de Noronha
codigo,,,11,Goiás
codigo,,,12,"Guanabara (Rio de Janeiro, antigo Distrito Federal)"
codigo,,,13,Rondônia (Guaporé)
codigo,,,14,Maranhão
codigo,,,15,Mato Grosso
codigo,,,16,Minas Gerais
codigo,,,17,Pará
codigo,,,18,Paraíba
codigo,,,19,Paraná
codigo,,,20,Pernambuco
codigo,,,21,Piauí
codigo,,,22,Rio Branco
codigo,,,23,Rio Grande do Norte
codigo,,,24,Rio Grande do Sul
codigo,,,25,Santa Catarina
codigo,,,26,São Paulo
codigo,,,27,Sergipe
codigo,,,28,Serra dos Aimorés (região em litígio)
codigo,,,29,Brasileiro nato sem declaração da Unidade da Federação
codigo,,,99,"Estrangeiro ou naturalizado sem declaração do país, ou nascido a bordo"
codigo,,,30,Açores
codigo,,,31,África do Sul
codigo,,,32,Alemanha (Ocidental e Oriental)
codigo,,,33,"Outros países da África (Argélia, Cabo Verde, Camarões, Congo, Costa do Marfim, Daomé, Eritreia etc.)"
codigo,,,34,Argentina
codigo,,,35,"URSS (inclusive Armênia, Bessarábia, Estônia, Geórgia, Letônia, Lituânia, Rússia e Ucrânia)"
codigo,,,36,Austrália
codigo,,,37,Áustria
codigo,,,38,Bélgica
codigo,,,39,Bolívia
codigo,,,40,Bulgária
codigo,,,41,Canadá
codigo,,,42,Chile
codigo,,,43,China
codigo,,,44,Síria
codigo,,,45,Colômbia
codigo,,,46,Coréia
codigo,,,47,Costa Rica
codigo,,,48,Cuba
codigo,,,49,Dinamarca
codigo,,,50,Egito (República Árabe Unida)
codigo,,,51,Equador
codigo,,,52,"Grã-Bretanha (Inglaterra, Escócia, Irlanda do Norte, Reino Unido)"
codigo,,,53,Iugoslávia (inclusive Eslovênia)
codigo,,,54,Espanha
codigo,,,55,Estados Unidos (inclusive Porto Rico)
codigo,,,56,Filipinas
codigo,,,57,Finlândia
codigo,,,58,França
codigo,,,59,Grécia
codigo,,,60,Guatemala
codigo,,,61,Guiana Inglesa
codigo,,,62,Guiana Holandesa (Suriname)
codigo,,,63,Guiana Francesa
codigo,,,64,Haiti
codigo,,,65,Holanda
codigo,,,66,Honduras
codigo,,,67,Honduras Britânica e outros países da América (ilhas do Caribe)
codigo,,,68,Hungria
codigo,,,69,Índia
codigo,,,70,Irã e outros países da Ásia
codigo,,,71,Iraque
codigo,,,72,Irlanda (Eire) e outros países da Europa
codigo,,,73,Israel
codigo,,,74,Itália
codigo,,,75,Jamaica
codigo,,,76,Japão
codigo,,,77,Líbano
codigo,,,78,México
codigo,,,79,Nicarágua
codigo,,,80,Nigéria
codigo,,,81,Noruega
codigo,,,82,Nova Zelândia e outros países da Oceania
codigo,,,83,Panamá
codigo,,,84,Paquistão
codigo,,,85,Paraguai
codigo,,,86,Pérsia
codigo,,,87,Peru
codigo,,,88,Polônia
codigo,,,89,Portugal
codigo,,,90,República Dominicana
codigo,,,91,Romênia
codigo,,,92,Salvador
codigo,,,93,Suécia
codigo,,,94,Suíça
codigo,,,95,Tcheco-Eslováquia
codigo,,,96,Turquia
codigo,,,97,Uruguai
codigo,,,98,Venezuela
codigo,V208,Nacionalidade,9,Brasileiro Nato
codigo,,,0,Brasil Naturalizado
codigo,,,1,Estrangeiro
codigo,V209,Procedência: Urbana Ou Rural (Para pessoas não naturais do município onde habitam),0,Zona Rural de Outro Município
codigo,,,1,Zona Urbana de Outro Município
codigo,,,2,Procedência Desconhecida - para pessoas nascidas na UF onde residem ou marcados como não morador presente
codigo,,,3,Procedência Desconhecida - para pessoas não naturais da UF onde residem
codigo,V299,Tempo de Imigração,2,Menos de 1 Ano
codigo,,,3,1 Ano
codigo,,,4,2 Anos
codigo,,,5,3 Anos
codigo,,,6,4 Anos
codigo,,,7,5 Anos
codigo,,,8,6 a 10 Anos
codigo,,,9,11 Anos e Mais
codigo,,,1,Sem declaração de tempo (naturalidade codificada como 01 ou 31)
codigo,,,0,Não se aplica - natural da Unidade da Federação onde reside (naturalidade codificada como 20). É o caso de 10.447.845 registros
codigo,V210,Lugar de residência anterior,00,Natural da Unidade da Federação (quesito I = 20)
codigo,,,29,"Natural do Brasil, sem resposta"
codigo,,,99,"Natural do exterior, sem resposta"
codigo,,,01-98,"Unidade da Federação ou país de residência anterior, pelos códigos do quesito G"
secao,EDUCAÇÃO (APENAS PARA PESSOAS COM 5 ANOS OU MAIS),,,
codigo,V211,Alfabetização,0,Lê e Frequenta Escola
codigo,,,1,Lê e não Frequenta Escola
codigo,,,2,não Lê e Frequenta Escola
codigo,,,3,não Lê e não Frequenta Escola
codigo,,,4,Ignorada
codigo,,,,Não aplicável (4 anos de idade ou menos) ou Informação Faltante (Registro Corrompido)
codigo,V212,Última Série Concluída,4,Primeira Série
codigo,,,5,Segunda Série
codigo,,,6,Terceira Série
codigo,,,7,Quarta Série
codigo,,,8,Quinta Série
codigo,,,9,Sexta Série
codigo,,,0,Está cursando o Primeiro ano do Elementar (não possui série concluída)
codigo,,,1,Nunca Frequentou Escola
codigo,,,2,Ignorado
codigo,,,,Não aplicável (4 anos de idade ou menos) ou Informação Faltante (Registro Corrompido)
codigo,V213,Grau do Curso,2,Elementar (Primário)
codigo,,,3,Médio Primeiro Ciclo (Ginasial)
codigo,,,4,"Médio Segundo Ciclo (Secundário, Científico etc.)"
codigo,,,5,Superior
codigo,,,6,Ignorado
codigo,,,1,Nunca Frequentou Escola
codigo,,,0,Está cursando o Primeiro ano do Elementar (não possui série concluída)
codigo,,,,Não aplicável (4 anos de idade ou menos) ou Informação Faltante (Registro Corrompido)
codigo,V214,Curso completo,X,Menor de 10 anos (em branco no arquivo)
codigo,,,00,Prejudicado (sem curso completo)
codigo,,,99,Ignorado
codigo,,,89,Curso de grau não determinado
codigo,,,10,Primário
codigo,,,11,Comercial
codigo,,,13,Serviços sanitários
codigo,,,14,Militar
codigo,,,15,Agricultura e pecuária
codigo,,,16,Emendativo
codigo,,,17,Industrial
codigo,,,19,Outros
codigo,,,20,Ginasial
codigo,,,21,Comercial
codigo,,,22,Normal ou pedagógico
codigo,,,24,Militar
codigo,,,25,Agricultura e pecuária
codigo,,,26,Emendativo
codigo,,,27,Industrial
codigo,,,29,Outros
codigo,,,40,Colegial (científico e clássico)
codigo,,,41,Comercial
codigo,,,42,Normal ou pedagógico
codigo,,,44,Militar
codigo,,,45,Agricultura e pecuária
codigo,,,47,Industrial
codigo,,,49,Outros
codigo,,,33,Serviços sanitários
codigo,,,34,Militar
codigo,,,36,Educação física
codigo,,,38,Eclesiástico
codigo,,,39,Outros
codigo,,,50,Bacharelado e didática em geografia e história
codigo,,,51,Bacharelado e didática em história natural
codigo,,,52,"Bacharelado e didática em letras (clássicas, neolatinas e anglo-germânicas)"
codigo,,,53,"Bacharelado e didática em matemática, física, química e desenho"
codigo,,,54,"Bacharelado e didática em outros cursos (astronomia, ciências sociais, filosofia, teologia etc.)"
codigo,,,57,Belas artes
codigo,,,60,Medicina
codigo,,,61,Farmácia
codigo,,,62,Odontologia
codigo,,,63,Veterinária
codigo,,,64,Engenharia
codigo,,,65,Arquitetura
codigo,,,66,Química industrial
codigo,,,67,Direito
codigo,,,68,Agronomia
codigo,,,70,"Ciências econômicas, contábeis e atuariais"
codigo,,,71,Ciências estatísticas
codigo,,,72,Artes domésticas
codigo,,,73,Serviços sanitários
codigo,,,74,Militar
codigo,,,76,Educação física
codigo,,,78,Eclesiástico
codigo,,,79,Outros
codigo,,,,Não aplicável (9 anos de idade ou menos)
secao,NUPCIALIDADE (APENAS PARA PESSOAS COM 10 ANOS OU MAIS),,,
codigo,V215,Estado Conjugal,6,Casamento Civil e Religioso
codigo,,,7,Somente Casamento Civil
codigo,,,8,Somente Casamento Religioso
codigo,,,9,Vivendo Maritalmente
codigo,,,0,Solteiro
codigo,,,1,Separado
codigo,,,2,Desquitado
codigo,,,3,Divorciado
codigo,,,4,Viúvo
codigo,,,5,Ignorado
codigo,,,,Não aplicável (9 anos de idade ou menos) ou Informação Faltante (Registro Corrompido)
codigo,V216,Ano do casamento,00,Não tem cônjuge ou não vive em companhia do cônjuge
codigo,,,01-60,"Ano do casamento, dois últimos algarismos (1901 a 1960)"
codigo,,,61,Casados no ano de 1900
codigo,,,62,Casados em ano anterior a 1864
codigo,,,63,Ignorado
codigo,,,64-99,"Ano do casamento, dois últimos algarismos (1864 a 1899)"
codigo,,,,Não aplicável (9 anos de idade ou menos)
secao,FECUNDIDADE (APENAS PARA PESSOAS COM 10 ANOS OU MAIS - INCLUSIVE HOMENS),,,
codigo,V217,Filhos Tidos,Valor,
codigo,,,,Não aplicável (9 anos de idade ou menos) ou Informação Faltante (Registro Corrompido)
codigo,V218,Filhos Vivos,Valor,
codigo,,,,Não aplicável (9 anos de idade ou menos) ou Informação Faltante (Registro Corrompido)
secao,TRABALHO E RENDIMENTO,,,
codigo,V219,"Rendimentos mensais, em cruzeiros de 1960",5,Até Cr$ 2.100
codigo,,,6,de Cr$ 2.101 a 3.300
codigo,,,7,de Cr$ 3.301 a 4.500
codigo,,,8,de Cr$ 4.501 a 6.000
codigo,,,9,de Cr$ 6.001 a 10.000
codigo,,,0,de Cr$ 10.001 a 20.000
codigo,,,1,de Cr$ 20.001 a 50.000
codigo,,,2,de Cr$ 50.001 e Mais
codigo,,,3,não Tem
codigo,,,4,Ignorado
codigo,,,,Não aplicável (9 anos de idade ou menos) ou Informação Faltante (Registro Corrompido)
codigo,V220,Atividade não Econômica,4,Afazeres Domésticos
codigo,,,5,Estudante
codigo,,,6,Aposentado
codigo,,,7,Vive de Rendas
codigo,,,8,Doença Temporária
codigo,,,9,Invalidez Permanente
codigo,,,0,Detento
codigo,,,1,Sem Ocupação
codigo,,,2,Ignorado
codigo,,,3,Prejudicado (Economicamente ativos)
codigo,,,,Não aplicável (9 anos de idade ou menos) ou Informação Faltante (Registro Corrompido)
codigo,V221,Ocupação habitual,111,Agricultores (fazendeiros)
codigo,,,112,Pecuaristas
codigo,,,113,Avicultores e criadores de pequenos animais
codigo,,,114,Industriais
codigo,,,115,Comerciantes
codigo,,,116,Hoteleiros e donos de pensão
codigo,,,117,Outros proprietários
codigo,,,121,"Administradores, diretores e assistentes no serviço público (inclusive cargos eletivos)"
codigo,,,122,Diretores e gerentes de bancos e companhias de seguros
codigo,,,123,Administradores e gerentes na agropecuária
codigo,,,124,"Outros administradores, diretores e gerentes"
codigo,,,181,Coletores e exatores
codigo,,,182,Caixas e tesoureiros
codigo,,,183,Cobradores
codigo,,,184,Contadores e guarda-livros
codigo,,,185,Despachantes (regularização de documentos)
codigo,,,186,Almoxarifes e armazenistas
codigo,,,187,Datilógrafos
codigo,,,188,Taquígrafos
codigo,,,189,Operadores de apuração mecânica
codigo,,,191,Auxiliares de escritório e de administração em geral
codigo,,,211,Engenheiros
codigo,,,212,Arquitetos
codigo,,,213,Agrimensores e topógrafos
codigo,,,214,Desenhistas e cartógrafos
codigo,,,215,Químicos
codigo,,,216,Farmacêuticos
codigo,,,217,Práticos de farmácia
codigo,,,218,Laboratoristas
codigo,,,221,Agrônomos
codigo,,,222,Veterinários
codigo,,,223,Naturalistas
codigo,,,231,Médicos
codigo,,,232,Dentistas
codigo,,,241,Assistentes sociais
codigo,,,242,Parteiras
codigo,,,243,Enfermeiros e massagistas
codigo,,,244,Protéticos
codigo,,,245,Operadores de raios X e ortopedistas práticos
codigo,,,251,Matemáticos e físicos
codigo,,,252,Professores primários
codigo,,,253,Professores secundários
codigo,,,254,Professores superiores
codigo,,,255,Professores sem especificação
codigo,,,256,"Sociólogos, economistas, atuários e estatísticos"
codigo,,,257,Inspetores de alunos
codigo,,,261,Magistrados
codigo,,,262,"Procuradores, promotores e curadores públicos"
codigo,,,263,Advogados e defensores públicos
codigo,,,264,Tabeliães e oficiais de registro
codigo,,,265,Escrivães e auxiliares de justiça
codigo,,,271,Religiosos
codigo,,,281,Escritores e jornalistas
codigo,,,291,Escultores e pintores
codigo,,,292,Técnicos de publicidade
codigo,,,293,Decoradores e cenógrafos
codigo,,,294,Cinegrafistas
codigo,,,295,Fotógrafos
codigo,,,311,Técnicos agrícolas e práticos rurais
codigo,,,312,Tratoristas
codigo,,,313,Aradores
codigo,,,321,"Chacareiros, hortelãos e floricultores"
codigo,,,322,Jardineiros
codigo,,,323,Trabalhadores agrícolas e de enxada
codigo,,,324,Trabalhadores de pecuária
codigo,,,331,Pescadores
codigo,,,332,Caçadores
codigo,,,341,Madeireiros e lenhadores
codigo,,,342,Carvoeiros (fabricantes)
codigo,,,343,Seringueiros
codigo,,,344,Ervateiros
codigo,,,345,"Apanhadores, descascadores e quebradores de produtos vegetais"
codigo,,,411,Mineiros
codigo,,,421,Canteiros e marroeiros
codigo,,,431,Ocupações relativas à perfuração de poços de petróleo e de gás e trabalhadores afins
codigo,,,441,Garimpeiros
codigo,,,511,Modeladores e formistas de metais
codigo,,,512,Fundidores de metais
codigo,,,513,Laminadores e trefiladores
codigo,,,514,Afiadores e amoladores
codigo,,,521,Estampadores mecânicos
codigo,,,522,Fresadores e furadores
codigo,,,523,Torneiros mecânicos
codigo,,,524,Mecânicos de motor a explosão
codigo,,,525,"Mecânicos, sem especificação"
codigo,,,526,Galvanizadores e niqueladores
codigo,,,527,Soldadores
codigo,,,528,Caldeireiros
codigo,,,529,Ferreiros e serralheiros
codigo,,,531,Lanterneiros de veículos
codigo,,,532,Rebitadores de metais
codigo,,,533,Funileiros de metais
codigo,,,534,Ferradores
codigo,,,541,Cardadores e penteadores
codigo,,,542,"Maçaroqueiros, bobinadores e espuladores"
codigo,,,543,Fiandeiros
codigo,,,544,Rendeiras
codigo,,,545,Urdidores e remetedores
codigo,,,546,Cordoeiros
codigo,,,547,Tecelões
codigo,,,548,Tapeceiros
codigo,,,549,Redeiros
codigo,,,551,Alvejadores e tintureiros têxteis
codigo,,,552,Estampadores têxteis
codigo,,,553,Acabadores de pano
codigo,,,554,Cerzideiras
codigo,,,561,Correeiros e seleiros
codigo,,,562,Curtidores
codigo,,,571,Alfaiates e costureiras
codigo,,,572,Bordadeiras
codigo,,,573,Chapeleiros (de palha)
codigo,,,574,"Chapeleiros, exclusive de palha"
codigo,,,575,Sapateiros
codigo,,,576,Bolseiros e cinteiros
codigo,,,581,Marceneiros
codigo,,,582,Carpinteiros
codigo,,,583,Tanoeiros
codigo,,,584,Serradores
codigo,,,585,Estofadores e capoteiros
codigo,,,586,Colchoeiros
codigo,,,587,Lustradores de madeira (inclusive móveis)
codigo,,,591,Eletricistas
codigo,,,592,Radiotécnicos (consertadores e montadores)
codigo,,,611,Mestres de obras
codigo,,,612,Armadores de concreto
codigo,,,613,Pedreiros
codigo,,,614,Serventes de pedreiro
codigo,,,615,Pintores e caiadores
codigo,,,616,Estucadores
codigo,,,617,Ladrilheiros e taqueiros
codigo,,,618,Encanadores
codigo,,,619,Vidraceiros (colocador de vidros)
codigo,,,621,Calceteiros e asfaltadores
codigo,,,622,Calafates
codigo,,,623,Operadores de máquinas na construção civil
codigo,,,631,Linguiceiros e salsicheiros
codigo,,,632,Charqueadores
codigo,,,633,Magarefes
codigo,,,634,Manteigueiros e queijeiros
codigo,,,635,Doceiros e confeiteiros
codigo,,,636,Macarroneiros e pasteleiros
codigo,,,637,Padeiros
codigo,,,638,Farinheiros e moleiros
codigo,,,639,Ocupações concernentes às usinas e engenhos de açúcar
codigo,,,641,Ocupações concernentes às destilarias de bebidas
codigo,,,642,Ocupações concernentes à moagem e torrefação de café
codigo,,,643,Ocupações concernentes à industrialização do pescado
codigo,,,651,Linotipistas
codigo,,,652,Tipógrafos
codigo,,,653,Clicheristas e gravadores
codigo,,,654,Impressores
codigo,,,655,"Revisores, na indústria gráfica"
codigo,,,656,Encadernadores e cartonadores
