"linha","tipo_registro","decisao","texto_original","texto_corrigido","explicacao"
238423,"2","reparo_fonte25","212166X72236615425171505520 20003110040010055332321207\0037520","212166X72236615425171505520920003110040010055332321207\0037520","2026-09-22: V208 recuperado como9 por correspondencia localizada do grupo completo e testemunhos unicos; diferencas de terceiros preservadas, nunca recodificadas. Prova em1960_amostra_127_reparos_fonte25.json. Distrito literalX7 preservado;07 somente na prova geografica localizada."
259248,"3","valor_isolado","2122620722 34069352911354209200015200000000034-       \0040955","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
293555,"3","cartao_uf","31   M       1BA33HIA                                 \0046690","","2026: cartão de cabeçalho da fita ('BAHIA' em letras, na fronteira Sergipe→Bahia), não é pessoa. Excluído."
293556,"3","realocada","31 1 80731608050352911557059200031100000000034-       \0046690","","2026: a linha está íntegra, mas o questionário 0731608050 é o da família ID 48357 (Bahia, município 3138), 10.578 linhas adiante; estava presa à família anterior (Sergipe). A chave do questionário a devolve à família certa; nada muda no texto."
297056,"1","valor_isolado","313131013143809415157838 680207002                    \0047256","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
387715,"3","reparo","313399073378603435291205705920001821000000034-        \0061919","3133990733786034352912057059200018210000000034-       \0061919","2026-09-22: revisão limitada às posições 43–45 do reparo anterior: 003, isto é, V218=00 e V219=3; V220=4 e o hífen em 47 permanecem. Conferido no gzip bruto BA da amostra25, linha 1909824, pasta 33786, boletim 034, ordem 08. Não importar V216=63 da outra fonte: V216=00 e os demais campos do reparo anterior permanecem."
387853,"3","reparo","313399073378605035291135405912053110000000031-        \0061935","3133990733786050352911354059120531100000000031-       \0061935","2026-09-22: revisão limitada às posições 43–45 do reparo anterior: 003, isto é, V218=00 e V219=3; V220=1 e o hífen em 47 permanecem. Conferido no gzip bruto BA da amostra25, linha 1909966, pasta 33786, boletim 050, ordem 05. Nenhum outro campo foi alterado."
388894,"3","recuperada","3356\212119012153624535191155720914203110000000005386320062104","21211901215362453519115572091420311000000000538632    \0030823","2026: cinco caracteres estranhos no início ('3356\') empurraram o registro; removidos, os campos até V223 são preservados, incluindo V221=863 e V223=2. V223B e V224 não foram recuperados. Pessoa do questionário 0121536245, família ID 30823. A fonte25 diverge em ocupação e não autoriza substituir 863 por 989. Texto aplicado inalterado nesta revisão."
388895,"3","recuperada","3356\2121190121536245352911157209200020000000000035-   0062104","2121190121536245352911157209200020000000000035-       \0030823","2026: cinco caracteres estranhos no início ('3356\') empurraram o registro; removidos, os campos até V220 são válidos (V221–V224 se perderam). É pessoa do questionário 0121536245 — família ID 30823. Reatribuída."
"405458","3","reparo_fonte25","4040940140880001311 1 954169200017210400130776-       \0064744","4040940140880001311717954169200017210400130776-       \0064744","MG405458: duas testemunhas intactas identificam conjuntamente o grupo unico nas fontes127 e25 antes do reparo; fonte25 confirma V203=7 e AGE=79. Apenas caracteres20/22 ilegíveis recuperados, unidade9 e REC_TYPE3 preservados; nenhuma geografia alterada. Prova: references/fechamento_integral_1960_evidencias/mg405458_identidade.json."
"445777","3","reparo_fonte25","404306214198406435281365416 200031100846050434-       \0070994","4043062141984064352813654169200031100846050434-       \0070994","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=445777."
540394,"3","reparo_fonte25","505001015004804335191076416 1816200-                  \0085642","50500101500480433519107641691816200-                  \0085642","2026-09-22: V208 recuperado como9 por correspondencia localizada do grupo completo e testemunhos unicos; diferencas de terceiros preservadas, nunca recodificadas. Prova em1960_amostra_127_reparos_fonte25.json. Nacionalidade nao e inferida por lugar de nascimento."
540399,"3","reparo_fonte25","505001015004804335291126416 181607210000000035-       \0085642","5050010150048043352911264169181607210000000035-       \0085642","2026-09-22: V208 recuperado como9 por correspondencia localizada do grupo completo e testemunhos unicos; diferencas de terceiros preservadas, nunca recodificadas. Prova em1960_amostra_127_reparos_fonte25.json. Nacionalidade nao e inferida por lugar de nascimento."
540461,"3","reparo_fonte25","505001015004805135281365516 191631100740060634-       \0085650","5050010150048051352813655169191631100740060634-       \0085650","2026-09-22: V208 recuperado como9 por correspondencia localizada do grupo completo e testemunhos unicos; diferencas de terceiros preservadas, nunca recodificadas. Prova em1960_amostra_127_reparos_fonte25.json. Nacionalidade nao e inferida por lugar de nascimento."
"541238","3","reparo_fonte25","505001015004815735191066716 1816311-                  \0085756","50500101500481573519106671691816311-                  \0085756","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=541238."
557426,"1","valor_isolado","5151680151242001111483 42580204001                    \0088188","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
"607903","1","reparo_fonte25","52531101534000171314 81525 0205002                    \0096545","5253110153400017131478152570205002                    \0096545","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V103; V109. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=607903."
"607904","2","reparo_fonte25","52531101534000172317142570992000142006450202 332227155\0096545","525311015340001723171425709920001420064502029332227155\0096545","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V219. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=607904."
611249,"3","cartao_uf","54   M       4GU35ANABARA                             \0097157","","2026: cartão de cabeçalho da fita ('GUANABARA', na fronteira Rio de Janeiro→Guanabara). Excluído."
611254,"3","valor_isolado","545   18541  10131281315402914093110075502028357125137\0097158","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
622944,"1","valor_isolado","545441025438200711148294257920 001                    \0099422","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
623401,"1","valor_isolado","5454410354382129111485 42579104001                    \0099536","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
646883,"3","valor_isolado","54553230552620473319011'41292000-                     \0104113","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
647399,"2","valor_isolado","5455413155302026211712'5423908231620095702029385125176\0104200","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
647750,"2","valor_isolado","54554131553020862117144'708909081620064006069361328145\0104260","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
648094,"1","valor_isolado","54554131553021421114849'2570202001                    \0104316","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
648102,"3","valor_isolado","54554131553021433129102'41292000-                     \0104317","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
648110,"3","valor_isolado","54554131553021443119116'4129200008210000000035-       \0104318","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
648440,"3","valor_isolado","54554131553022033129103'71292000-                     \0104377","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
648441,"3","valor_isolado","54554131553022033119113'7129200018210000000031-       \0104377","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
648930,"2","valor_isolado","54554232553420372327140'709919093110010002026357125137\0104461","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
648945,"3","valor_isolado","54554232553420393329125'7129200018210000000034-       \0104463","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
649029,"3","valor_isolado","54554232553420543319113'7129200007210000000035-       \0104478","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
649500,"1","valor_isolado","54554232553422051314821'0570204002                    \0104558","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
649660,"3","valor_isolado","54554232553422323319112'7129200006200000000035-       \0104585","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
649825,"1","valor_isolado","54554232553422591314849'2570206003                    \0104612","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
653997,"3","valor_isolado","54556229555440173129121640990909182100000000631""224156\0105385","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
654737,"2","valor_isolado","545562295554414721171'15709909093110064411059361323147\0105515","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
654774,"3","valor_isolado","5455622955544152311211""5716908163110000000008398923156\0105520","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
654933,"3","valor_isolado","5455622955544176312211""57189051831100100010134-       \0105544","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
654950,"3","valor_isolado","545562295554418031121155412920001""21000000007399823216\0105548","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
662366,"3","valor_isolado","606234156019802931141285474118""41721000000009399823186\0106938","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
"675159","2","reparo_fonte25","6062343960676063211714154269200017210954000083 2123356\0109313","606234396067606321171415426920001721095400008392123356\0109313","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V221. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=675159."
704089,"3","valor_isolado","606065016229805835291165   9 00031100000000034-       \0114598","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
"706676","2","reparo_fonte25","60609501623980272117136570'918053110075899999361423516\0115030","606095016239802721171365705918053110075899999361423516\0115030","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V207. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=706676."
"710182","2","reparo_fonte25","6060950162478193211715454891Z9261721062803039359225156\0115620","606095016247819321171545489109261721062803039359225156\0115620","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V209. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=710182."
"710183","3","reparo_fonte25","6060950162478193312912754269Z92617210652020134-       \0115620","6060950162478193312912754269092617210652020134-       \0115620","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V209. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=710183."
"710184","3","reparo_fonte25","6060950162478193312815654891Z92614200628030334-       \0115620","6060950162478193312815654891092614200628030334-       \0115620","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V209. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=710184."
756770,"1","valor_isolado","60623477616981071114099@2570204002                    \0124092","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
756779,"1","valor_isolado","60623477616981091114869'2579105004                    \0124094","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
"760742","3","reparo_fonte25","6062348361852143351910 542692000000-                  \0124800","60623483618521433519108542692000000-                  \0124800","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: AGE. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=760742."
760804,"3","valor_isolado","6062348361852154352911254269200004200000000Z35-       \0124811","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
760807,"3","dano_salto_nao_resolvido","60623483618521543520109542692000042-       9          \0124811","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
760919,"3","dano_salto_nao_resolvido","60623483618521723519102542692000-                   9 \0124829","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
760923,"3","dano_salto_nao_resolvido","60623483618521723519106542692000311-                9 \0124829","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
760925,"3","dano_salto_nao_resolvido","60623483618521723519108542692000311-                9 \0124829","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
761035,"3","valor_isolado","6062348361852189351212354239082315200000000083547232""6\0124846","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
761056,"3","dano_salto_nao_resolvido","6062348361852192351211355169081600000000000035-     6 \0124849","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
761057,"3","dano_salto_nao_resolvido","6062348361852192352812055269081617210656020234-     6 \0124849","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
761058,"3","dano_salto_nao_resolvido","60623483618521923519006552692000-                   6 \0124849","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
"766772","3","reparo_fonte25","606236096358406235291016426 2000-                     \0125889","60623609635840623529101642692000-                     \0125889","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=766772."
780540,"2","valor_isolado","60631001639362442517O|255269200031100000000034-       \0128168","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
"793783","2","reparo_fonte25","6064040164432113251712954269Z9261520065204047332321166\0130452","606404016443211325171295426909261520065204047332321166\0130452","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V209. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=793783."
796811,"3","reparo","60642301644902383519106542 692000311-                 \0130956","60642301644902383519106542692000311-                  \0130956","2018: espaços a mais entre dígitos removidos e comprimento recomposto (del_space_between=1; insert_space_end=1; insert_bar= 0;insert_pos=54)."
"803760","1","reparo_fonte25","60647201647541301114   42   20 001                    \0132129","6064720164754130111483942579207001                    \0132129","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V103; V104; V105; V108; V109; V110; V112. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=803760."
806790,"3","valor_isolado","6064820164810118352912154269200015200000000034-    9  \0132593","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
806791,"3","dano_salto_nao_resolvido","6064820164810118352815054059192631100720130834-    9  \0132593","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
806800,"3","dano_salto_nao_resolvido","6064820164810119352812454269200016200654010134-    9  \0132595","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
806801,"3","dano_salto_nao_resolvido","60648201648101193529105542692000311-               9  \0132595","","2026-09-22: digito depois do sinal de salto; dano preservado, nao reparado. NA produzido por leitura invalida nao demonstra igualdade ao branco da fonte25. Registro e demais respostas conservados; nao apagar caracteres para aprovar correspondencia."
806803,"2","valor_isolado","6064820164810120251714324269192612200747070587-    9  \0132596","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
806970,"3","valor_isolado","60648201648101413512116541691916162000000000""332321206\0132617","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
806984,"2","valor_isolado","60648201648101442517127542692000172106580101 332321206\0132620","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
"827521","3","reparo_fonte25","606613016544214031281235426 092615200658010134-       \0135963","6066130165442140312812354269092615200658010134-       \0135963","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=827521."
830044,"3","reparo","6066340365548068351910554269200031 1-                  0136350","60663403655480683519105542692000311-                  \0136350","2018: espaços a mais entre dígitos removidos e comprimento recomposto (del_space_between=1; insert_space_end=0; insert_bar= 1;insert_pos=54)."
830045,"3","reparo","60663403655480693539 1 1754269 1926 172  100000000333230136350","6066340365548069353911754269192617210000000033323     \0136350","2018: espaços a mais entre dígitos removidos e comprimento recomposto (del_space_between=6; insert_space_end=5; insert_bar= 1;insert_pos=50)."
830192,"2","reparo","606634036554809325171275426904261 6200656 010 18332321 0136371","606634036554809325171275426904261620065601018332321   \0136371","2018: espaços a mais entre dígitos removidos e comprimento recomposto (del_space_between=3; insert_space_end=2; insert_bar= 1;insert_pos=53)."
830335,"3","reparo","606634036554811935191105426902263110000000003  -       0136396","606634036554811935191105426902263110000000003 -       \0136396","2026: dois brancos entre V219 e o hífen de salto (que deveria estar em 47) e barra ausente: removido um branco, barra reposta. V220 fica NA."
830718,"1","reparo","60663601655660031 11 478941579207002                   0136455","6066360165566003111478941579207002                    \0136455","2018: espaços a mais entre dígitos removidos e comprimento recomposto (del_space_between=2; insert_space_end=1; insert_bar= 1)."
"831654","2","reparo_fonte25","606636016556617823271445726 06261420040002025398327176\0136620","606636016556617823271445726906261420040002025398327176\0136620","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=831654."
855822,"3","corrompida","91 5 6542 692000311 0000000003332321 1 60\60643301 644\0140406","","2018: registro inteiro ilegível; todas as variáveis viram NA."
887254,"3","valor_isolado","71724Z0771038214352911054199200031100000000034-       \0145605","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
887255,"1","valor_isolado","71724Z0771038216151598279680202001                    \0145606","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
887256,"2","valor_isolado","71724Z077103821625171215419920003110096000005332321207\0145606","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
914165,"3","valor_isolado","717333017174022635141305705902051520500000007332321166\0149807","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
934206,"3","valor_isolado","74746401744541883528120542592000311008'9010134-       \0152898","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
940384,"1","valor_isolado","74750901746262331515782896 0202001                    \0153837","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
951430,"1","recuperada","182 1000000008371 323326\81 82620181 07 601 71 11 478940155539","818262018107601711147894                              \0158808","2026: entre os fragmentos lê-se, sem os espaços, '8182620181076017 1 1 1 4 7 8 9 4': UF 81, município 8262, questionário 0181076017, registro de família, urbano, domicílio único, tipo 4, condição 7, aluguel 8, água 9, sanitário 4. V107–V113 perderam-se. É o registro de família que faltava à família ID 158808 (3 pessoas)."
951431,"2","recuperada","34-       \818262018107 601 63 1221 12552492000062000000155539","81826201810760163122112552492000062000                \0155539","2026-09-22: restauradas somente as posições 34–37 para 6200 (V212=6, V213=2, V214=00), legíveis no fragmento sem espaços e corroboradas pelo gzip bruto RS da amostra25, linha 252042, pasta 81076, boletim 016, ordem 03. V215, os brancos de 39–54 e o identificador de 55–62 permanecem. O vínculo familiar continua pendente; a correção não importa campos posteriores da fonte25."
951432,"3","corrompida","81              3                                     \0155539","","2018: registro inteiro ilegível; todas as variáveis viram NA."
951433,"3","corrompida","81-35776-46-1606345-6542353&755361577&177777438       \0155539","","2018: registro inteiro ilegível; todas as variáveis viram NA."
962975,"1","valor_isolado","8182040181698002111485952569108004                    \0157381","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
"963286","3","reparo_fonte25","818204018169810431191015424 2000-                     \0157432","81820401816981043119101542492000-                     \0157432","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=963286."
971437,"3","reparo","818262018107601531191 01542492000-                     0158808","81826201810760153119101542492000-                     \0158808","2018: espaços a mais entre dígitos removidos e comprimento recomposto (del_space_between=1; insert_space_end=0; insert_bar= 1;insert_pos=55)."
"983242","3","reparo_fonte25","818265098206010635291075424 2000311-                  \0160918","81826509820601063529107542492000311-                  \0160918","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=983242."
983933,"1","valor_isolado","818265098206021715148726967 210004                    \0161029","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
"994324","1","reparo_fonte25","818311018245002711148236957 205002                    \0162721","8183110182450027111482369579205002                    \0162721","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V110. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=994324."
"997505","3","reparo_fonte25","818316038250204031191025424 2000-                     \0163207","81831603825020403119102542492000-                     \0163207","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=997505."
"998640","3","reparo_fonte25","818316038250221235191055424 2000311-                  \0163379","81831603825022123519105542492000311-                  \0163379","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=998640."
"1002257","1","reparo_fonte25","818323018259015911147895257 206003                    \0163919","8183230182590159111478952579206003                    \0163919","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V110. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=1002257."
"1002771","1","reparo_fonte25","818329018265602111147895957 208004                    \0164005","8183290182656021111478959579208004                    \0164005","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V110. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=1002771."
"1005344","1","reparo_fonte25","818353038273218015147828 670206002                    \0164410","8183530382732180151478289670206002                    \0164410","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V107. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=1005344."
"1005687","1","reparo_fonte25","818353038273222715149 269680206004                    \0164457","8183530382732227151498269680206004                    \0164457","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V104. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=1005687."
"1005952","1","reparo_fonte25","818354018274002713147826957 211004                    \0164501","8183540182740027131478269579211004                    \0164501","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V110. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=1005952."
1010710,"1","valor_isolado","8183640182898001110483949570209003                    \0165232","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
1013417,"1","valor_isolado","818407038297409211148026957 205002                    \0165673","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
1013483,"1","valor_isolado","818407038297410411148036957 206003                    \0165685","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
"1019837","3","reparo_fonte25","818420018318601233190005524 2000-                     \0166723","81842001831860123319000552492000-                     \0166723","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=1019837."
"1019901","3","reparo_fonte25","818420018318602333191065424 2000311-                  \0166734","81842001831860233319106542492000311-                  \0166734","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=1019901."
