"grupo","linha","acao","n_antes","n_manter","texto_original","texto_corrigido","fonte_25","linhas_25","justificativa"
"21_21438_6_linha194666","194673","remover","2","1","2121130521438006351911355209200031100000000031-       \0029847","2121130521438006351911355209200031100000000031-       \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37866","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194667","194667","manter","2","1","21211305214380063529109552092000311-                  \0029847","21211305214380063529109552092000311-                  \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37868","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194667","194674","remover","2","1","21211305214380063529109552092000311-                  \0029847","21211305214380063529109552092000311-                  \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37868","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_7_linha194677","194677","manter","2","1","21211305214380073529101572092000-                     \0029849","21211305214380073529101572092000-                     \0029849","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37875","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_7_linha194677","194679","remover","2","1","21211305214380073529101572092000-                     \0029849","21211305214380073529101572092000-                     \0029849","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37875","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194685","194685","manter","2","1","2121130521438008352812557029190231100848090634-       \0029851","2121130521438008352812557029190231100848090634-       \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37878","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194685","194687","remover","2","1","2121130521438008352812557029190231100848090634-       \0029851","2121130521438008352812557029190231100848090634-       \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37878","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194683","194683","manter","2","1","21211305214380083529104572092000-                     \0029851","21211305214380083529104572092000-                     \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37881","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194683","194688","remover","2","1","21211305214380083529104572092000-                     \0029851","21211305214380083529104572092000-                     \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37881","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194682","194682","manter","2","1","21211305214380083529102572092000-                     \0029851","21211305214380083529102572092000-                     \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37882","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194682","194689","remover","2","1","21211305214380083529102572092000-                     \0029851","21211305214380083529102572092000-                     \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37882","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194686","194686","manter","2","1","21211305214380083519109572092000311-                  \0029851","21211305214380083519109572092000311-                  \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37880","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194686","194690","remover","2","1","21211305214380083519109572092000311-                  \0029851","21211305214380083519109572092000311-                  \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37880","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194684","194684","manter","2","1","2121130521438008352911157209200031100000000034-       \0029851","2121130521438008352911157209200031100000000034-       \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37879","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_8_linha194684","194691","remover","2","1","2121130521438008352911157209200031100000000034-       \0029851","2121130521438008352911157209200031100000000034-       \0029851","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37879","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194696","194696","manter","2","1","2121130521438009352813357209200015200938070734-       \0029853","2121130521438009352813357209200015200938070734-       \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37886","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194696","194701","remover","2","1","2121130521438009352813357209200015200938070734-       \0029853","2121130521438009352813357209200015200938070734-       \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37886","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194698","194698","manter","2","1","21211305214380093519106572092000311-                  \0029853","21211305214380093519106572092000311-                  \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37891","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194698","194703","remover","2","1","21211305214380093519106572092000311-                  \0029853","21211305214380093519106572092000311-                  \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37891","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194699","194699","manter","2","1","21211305214380093549103572092000-                     \0029853","21211305214380093549103572092000-                     \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37892","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194699","194704","remover","2","1","21211305214380093549103572092000-                     \0029853","21211305214380093549103572092000-                     \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37892","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194700","194700","manter","2","1","2121130521438009352911457209200005200000000035-       \0029853","2121130521438009352911457209200005200000000035-       \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37888","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194700","194705","remover","2","1","2121130521438009352911457209200005200000000035-       \0029853","2121130521438009352911457209200005200000000035-       \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37888","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194694","194694","manter","2","1","21211305214380093529109572092000311-                  \0029853","21211305214380093529109572092000311-                  \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37890","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194694","194706","remover","2","1","21211305214380093529109572092000311-                  \0029853","21211305214380093529109572092000311-                  \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37890","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194697","194697","manter","2","1","2121130521438009352911157209200005200000000035-       \0029853","2121130521438009352911157209200005200000000035-       \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37889","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_9_linha194697","194707","remover","2","1","2121130521438009352911157209200005200000000035-       \0029853","2121130521438009352911157209200005200000000035-       \0029853","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37889","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_11_linha194715","194715","manter","2","1","21211305214380113510103542092000-                     \0029857","21211305214380113510103542092000-                     \0029857","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37900","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_11_linha194715","194719","remover","2","1","21211305214380113510103542092000-                     \0029857","21211305214380113510103542092000-                     \0029857","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37900","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_11_linha194714","194714","manter","2","1","21211305214380113520101542092000-                     \0029857","21211305214380113520101542092000-                     \0029857","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37901","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_11_linha194714","194720","remover","2","1","21211305214380113520101542092000-                     \0029857","21211305214380113520101542092000-                     \0029857","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37901","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_12_linha194723","194723","manter","2","1","2121130521438012352814355209200031100737090934-       \0029859","2121130521438012352814355209200031100737090934-       \0029859","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37904","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_12_linha194723","194734","remover","2","1","2121130521438012352814355209200031100737090934-       \0029859","2121130521438012352814355209200031100737090934-       \0029859","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37904","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_12_linha194725","194725","manter","2","1","2121130521438012351911055209200031100000000031-       \0029859","2121130521438012351911055209200031100000000031-       \0029859","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37911","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_12_linha194725","194736","remover","2","1","2121130521438012351911055209200031100000000031-       \0029859","2121130521438012351911055209200031100000000031-       \0029859","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37911","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_12_linha194731","194731","manter","2","1","21211305214380123529102552092000-                     \0029859","21211305214380123529102552092000-                     \0029859","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37914","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
